kWhDelivered,effective_charging_duration_min,post_charge_duration_min,total_session_duration_min,kWh_per_min_total_session,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,disconnectTime_year,disconnectTime_month,disconnectTime_day,disconnectTime_hour,disconnectTime_min,disconnectTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
5.07,135.25,409.3,544.55,0.009310439812689378,0.03748613678373383,2018,4,25,17,6,18,2018,4,26,2,10,51,2018,4,25,19,21,33
6.337,439.1166666666667,4242.866666666667,4681.983333333334,0.0013534862362460352,0.01443124454397085,2018,4,25,18,22,3,2018,4,29,0,24,2,2018,4,26,1,41,10
2.375,49.31666666666667,0.11666666666666667,49.43333333333333,0.04804450438300742,0.048158161541061166,2018,4,25,18,47,12,2018,4,25,19,36,38,2018,4,25,19,36,31
6.523,135.7,-1.0,134.7,0.04842613214550854,0.048069270449521,2018,4,25,19,32,5,2018,4,25,21,46,47,2018,4,25,21,47,47
2.203,52.95,197.56666666666666,250.51666666666668,0.008793826092741666,0.041605288007554295,2018,4,25,19,33,1,2018,4,25,23,43,32,2018,4,25,20,25,58
7.738,147.16666666666666,130.0,277.1666666666667,0.027918220084185208,0.05257984144960363,2018,4,25,19,40,2,2018,4,26,0,17,12,2018,4,25,22,7,12
12.94,210.4,83.36666666666666,293.76666666666665,0.04404856462044707,0.061501901140684406,2018,4,25,19,41,42,2018,4,26,0,35,28,2018,4,25,23,12,6
14.328,313.06666666666666,0.1,313.1666666666667,0.045751995742416174,0.04576660988074957,2018,4,25,19,43,13,2018,4,26,0,56,23,2018,4,26,0,56,17
4.189,193.36666666666667,28.35,221.71666666666667,0.01889348267308126,0.021663506292018617,2018,4,25,20,14,50,2018,4,25,23,56,33,2018,4,25,23,28,12
0.829,35.05,346.93333333333334,381.98333333333335,0.0021702517561848246,0.023651925820256776,2018,4,25,20,30,49,2018,4,26,2,52,48,2018,4,25,21,5,52
27.743,309.68333333333334,-0.9666666666666667,308.71666666666664,0.08986557253144739,0.08958506000753458,2018,4,25,21,57,42,2018,4,26,3,6,25,2018,4,26,3,7,23
12.692,175.75,54.0,229.75,0.05524265505984766,0.07221621621621621,2018,4,25,22,17,32,2018,4,26,2,7,17,2018,4,26,1,13,17
1.304,35.96666666666667,17.416666666666668,53.38333333333333,0.024427099594130502,0.03625579240037071,2018,4,25,22,42,48,2018,4,25,23,36,11,2018,4,25,23,18,46
11.466,118.7,10.616666666666667,129.31666666666666,0.0886660652145895,0.09659646166807076,2018,4,26,0,2,16,2018,4,26,2,11,35,2018,4,26,2,0,58
11.695,209.26666666666668,59.36666666666667,268.6333333333333,0.04353517806179427,0.055885632366995855,2018,4,26,0,3,3,2018,4,26,4,31,41,2018,4,26,3,32,19
2.87,25.266666666666666,0.21666666666666667,25.483333333333334,0.11262262916939175,0.11358839050131928,2018,4,26,0,5,36,2018,4,26,0,31,5,2018,4,26,0,30,52
2.264,69.66666666666667,180.91666666666666,250.58333333333334,0.009034918523445293,0.032497607655502386,2018,4,26,0,7,10,2018,4,26,4,17,45,2018,4,26,1,16,50
1.02,478.53333333333336,131.21666666666667,609.75,0.0016728167281672816,0.002131512956255224,2018,4,26,1,21,28,2018,4,26,11,31,13,2018,4,26,9,20,0
5.023,52.4,87.48333333333333,139.88333333333333,0.03590849517455022,0.0958587786259542,2018,4,26,1,40,29,2018,4,26,4,0,22,2018,4,26,2,32,53
8.693,89.63333333333334,42.05,131.68333333333334,0.06601442855334767,0.09698400892525101,2018,4,26,1,48,55,2018,4,26,4,0,36,2018,4,26,3,18,33
4.915,51.55,67.13333333333334,118.68333333333334,0.04141272293217245,0.09534432589718721,2018,4,26,1,49,57,2018,4,26,3,48,38,2018,4,26,2,41,30
13.892,132.4,0.08333333333333333,132.48333333333332,0.10485847276386967,0.10492447129909364,2018,4,26,2,17,10,2018,4,26,4,29,39,2018,4,26,4,29,34
1.155,11.083333333333334,0.08333333333333333,11.166666666666666,0.10343283582089553,0.10421052631578948,2018,4,26,2,25,14,2018,4,26,2,36,24,2018,4,26,2,36,19
11.891,118.53333333333333,4.216666666666667,122.75,0.09687169042769858,0.1003177727784027,2018,4,26,2,36,2,2018,4,26,4,38,47,2018,4,26,4,34,34
6.956,71.0,23.783333333333335,94.78333333333333,0.07338842975206612,0.0979718309859155,2018,4,26,2,49,57,2018,4,26,4,24,44,2018,4,26,4,0,57
2.568,22.85,0.08333333333333333,22.933333333333334,0.11197674418604651,0.1123851203501094,2018,4,26,3,7,4,2018,4,26,3,30,0,2018,4,26,3,29,55
6.503,138.85,675.2166666666667,814.0666666666667,0.007988289247399884,0.04683471371984156,2018,4,26,3,13,44,2018,4,26,16,47,48,2018,4,26,5,32,35
2.272,72.1,50.45,122.55,0.018539371685026517,0.0315117891816921,2018,4,26,3,33,58,2018,4,26,5,36,31,2018,4,26,4,46,4
13.926,468.0,0.08333333333333333,468.0833333333333,0.02975111269360869,0.029756410256410258,2018,4,26,6,20,56,2018,4,26,14,9,1,2018,4,26,14,8,56
4.632,80.21666666666667,0.1,80.31666666666666,0.05767171612367711,0.057743611053397044,2018,4,26,11,31,17,2018,4,26,12,51,36,2018,4,26,12,51,30
12.138,208.31666666666666,504.1666666666667,712.4833333333333,0.017036187981005403,0.058267061364909195,2018,4,26,13,25,8,2018,4,27,1,17,37,2018,4,26,16,53,27
