kWhDelivered,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
6.087,0.02873033354310887,2018,4,26,15,28,15,2018,4,26,19,0,7
6.298,0.05129360662413465,2018,4,26,15,45,26,2018,4,26,17,48,13
4.182,0.06037536092396536,2018,4,26,15,46,5,2018,4,26,16,55,21
4.846,0.053399449035812674,2018,4,26,15,46,33,2018,4,26,17,17,18
2.65,0.050062972292191435,2018,4,26,15,47,39,2018,4,26,16,40,35
2.997,0.04297801147227533,2018,4,26,15,55,18,2018,4,26,17,5,2
2.68,0.04544940644431882,2018,4,26,15,56,4,2018,4,26,16,55,2
3.54,0.028933387821822643,2018,4,26,15,57,16,2018,4,26,17,59,37
1.916,0.04279970215934475,2018,4,26,15,59,53,2018,4,26,16,44,39
2.757,0.030032679738562093,2018,4,26,16,1,29,2018,4,26,17,33,17
10.248,0.05170534813319879,2018,4,26,16,1,58,2018,4,26,19,20,10
14.0,0.02794876060555648,2018,4,26,16,7,42,2018,4,27,0,28,37
14.01,0.030456521739130434,2018,4,26,16,9,35,2018,4,26,23,49,35
6.709,0.05430922827846735,2018,4,26,16,20,52,2018,4,26,18,24,24
25.981,0.03954690750418591,2018,4,26,16,21,31,2018,4,27,3,18,29
4.263,0.0360609051177217,2018,4,26,16,38,47,2018,4,26,18,37,0
5.723,0.03467784286002828,2018,4,26,16,41,12,2018,4,26,19,26,14
4.384,0.04734341252699785,2018,4,26,16,53,4,2018,4,26,18,25,40
9.914,0.022338052499155055,2018,4,26,16,58,21,2018,4,27,0,22,10
10.411,0.022213292557163686,2018,4,26,17,8,18,2018,4,27,0,56,59
9.026,0.043190047053194035,2018,4,26,17,11,27,2018,4,26,20,40,26
14.422,0.058204076141790545,2018,4,26,17,15,26,2018,4,26,21,23,13
18.861,0.09587089122331414,2018,4,26,17,26,50,2018,4,26,20,43,34
5.728,0.06521442125237192,2018,4,26,17,39,42,2018,4,26,19,7,32
2.528,0.036851311953352776,2018,4,26,18,43,12,2018,4,26,19,51,48
2.628,0.010006345982992767,2018,4,26,19,38,28,2018,4,27,0,1,6
1.306,0.03787336877718705,2018,4,26,20,17,40,2018,4,26,20,52,9
1.801,0.04828418230563003,2018,4,26,20,27,49,2018,4,26,21,5,7
5.576,0.051062271062271056,2018,4,26,21,2,30,2018,4,26,22,51,42
16.0,0.06936917407327119,2018,4,26,21,18,45,2018,4,27,1,9,24
0.852,0.031208791208791206,2018,4,26,23,4,49,2018,4,26,23,32,7
1.829,0.05495242864296445,2018,4,27,1,17,43,2018,4,27,1,51,0
13.927,0.014207841670350597,2018,4,27,1,22,57,2018,4,27,17,43,11
13.872,0.10477341389728097,2018,4,27,1,40,52,2018,4,27,3,53,16
5.654,0.10012987012987012,2018,4,27,1,50,34,2018,4,27,2,47,2
2.558,0.03225047278840092,2018,4,27,2,4,43,2018,4,27,3,24,2
6.417,0.05366880401449679,2018,4,27,3,10,5,2018,4,27,5,9,39
5.56,0.11319986426874787,2018,4,27,3,29,59,2018,4,27,4,19,6
0.546,0.028,2018,4,27,5,6,13,2018,4,27,5,25,43
11.323,0.01586557997244343,2018,4,27,13,16,28,2018,4,28,1,10,9
3.981,0.057143540669856455,2018,4,27,14,14,39,2018,4,27,15,24,19
17.634,0.07527319294251565,2018,4,27,14,41,42,2018,4,27,18,35,58
7.288,0.01383009678031501,2018,4,27,15,0,26,2018,4,27,23,47,24
6.236,0.052521055586749014,2018,4,27,15,9,6,2018,4,27,17,7,50
