kWhDelivered,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
8.972,0.08082882882882883,2018,1,3,20,34,0,2018,1,3,22,25,0
12.81,0.12683168316831683,2018,1,3,21,41,0,2018,1,3,23,22,0
5.798,0.2760952380952381,2018,1,3,22,30,0,2018,1,3,22,51,0
7.878,0.08470967741935484,2018,1,3,22,50,0,2018,1,4,0,23,0
4.949,0.1832962962962963,2018,1,3,22,58,0,2018,1,3,23,25,0
20.466,0.06415673981191222,2018,1,3,23,41,0,2018,1,4,5,0,0
4.585,0.11182926829268293,2018,1,3,23,43,0,2018,1,4,0,24,0
1.259,0.25179999999999997,2018,1,4,0,40,0,2018,1,4,0,45,0
14.583,0.19706756756756758,2018,1,4,0,42,0,2018,1,4,1,56,0
1.626,0.0956470588235294,2018,1,4,0,49,0,2018,1,4,1,6,0
1.007,0.0629375,2018,1,4,2,7,0,2018,1,4,2,23,0
11.954,0.07201204819277109,2018,1,4,3,31,0,2018,1,4,6,17,0
0.663,0.1326,2018,1,4,4,5,0,2018,1,4,4,10,0
0.412,0.0824,2018,1,4,4,20,0,2018,1,4,4,25,0
0.614,0.06822222222222223,2018,1,4,4,20,0,2018,1,4,4,29,0
0.522,0.08700000000000001,2018,1,4,4,24,0,2018,1,4,4,30,0
7.435,0.09655844155844155,2018,1,4,5,32,0,2018,1,4,6,49,0
13.204,1.4671111111111113,2018,1,4,5,43,0,2018,1,4,5,52,0
5.196,0.22591304347826086,2018,1,4,5,51,0,2018,1,4,6,14,0
13.229,0.09449285714285714,2018,1,4,6,39,0,2018,1,4,8,59,0
1.295,0.259,2018,1,4,6,48,0,2018,1,4,6,53,0
0.834,0.1668,2018,1,4,7,45,0,2018,1,4,7,50,0
9.147,0.19461702127659575,2018,1,4,7,46,0,2018,1,4,8,33,0
2.224,0.22240000000000001,2018,1,4,7,48,0,2018,1,4,7,58,0
1.144,0.22879999999999998,2018,1,4,7,54,0,2018,1,4,7,59,0
27.121,0.06426777251184834,2018,1,4,8,9,0,2018,1,4,15,11,0
0.727,0.08077777777777778,2018,1,4,8,41,0,2018,1,4,8,50,0
1.256,0.2512,2018,1,4,9,21,0,2018,1,4,9,26,0
15.009,1.3644545454545456,2018,1,4,10,9,0,2018,1,4,10,20,0
19.808,0.34750877192982454,2018,1,4,10,18,0,2018,1,4,11,15,0
1.63,0.08578947368421053,2018,1,4,10,47,0,2018,1,4,11,6,0
